Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,0.004681,0.077973,0.004615,0.037196,0.037196,69176619504
2021-02-01,0.037054,0.084945,0.029195,0.048052,0.048052,134644162344
2021-03-01,0.048070,0.063052,0.047879,0.053657,0.053657,38710898712
2021-04-01,0.053655,0.437700,0.053644,0.337561,0.337561,351156872866
2021-05-01,0.337559,0.737567,0.218267,0.325810,0.325810,414762218700
2021-06-01,0.325744,0.444590,0.164654,0.254215,0.254215,100113990064
2021-07-01,0.253828,0.260092,0.160728,0.208314,0.208314,52083116246
2021-08-01,0.207753,0.350953,0.193750,0.278453,0.278453,105862617136
2021-09-01,0.278062,0.319751,0.194489,0.204244,0.204244,53499067956
2021-10-01,0.204427,0.338843,0.201994,0.280244,0.280244,99274048636
2021-11-01,0.280123,0.296532,0.190344,0.214715,0.214715,51443079613
2021-12-01,0.214487,0.223011,0.132826,0.170496,0.170496,41345562838
