1, 0
2, 1
3, 1
4, 5
5, 6
6, 11
7, 17
8, 22
9, 31
10, 50
11, 66
12, 101
13, 122
14, 173
15, 232
16, 281
17, 349
18, 419
19, 530
20, 626
21, 740
22, 890
23, 1037
24, 1204
25, 1372
26, 1619
27, 1839
28, 2023
29, 2277
30, 2510
31, 2888
32, 3311
33, 3432
34, 3874
35, 4144
36, 4528
37, 4825
38, 5117
39, 5456
40, 5773
41, 6003
42, 6200
43, 6321
44, 6628
45, 6830
46, 7177
47, 7381
48, 7824
49, 8017
50, 8096
51, 8168
52, 8255
53, 8392
54, 8561
55, 8754
56, 8812
57, 8905
58, 8929
59, 8998
60, 8964
61, 8951
62, 9071
63, 9215
64, 9417
65, 9335
66, 9409
67, 9404
68, 9430
69, 9499
70, 9700
71, 9913
72, 9933
73, 10036
74, 10191
75, 10167
76, 10153
77, 10321
78, 10416
79, 10593
80, 10717
81, 10899
82, 10957
83, 11098
84, 11346
85, 11028
86, 11111
87, 11223
88, 11410
89, 11488
90, 11449
91, 11636
92, 11577
93, 11558
94, 11704
95, 11863
96, 12194
97, 12551
98, 12998
99, 13181
100, 13225
101, 13290
102, 13550
103, 13676
104, 13919
105, 14149
106, 14269
107, 14438
108, 14326
109, 14279
110, 14093
111, 13892
112, 13792
113, 13579
114, 13291
115, 13044
116, 12748
117, 12307
118, 11920
119, 11812
120, 11648
121, 11506
122, 11444
123, 11247
124, 11081
125, 10688
126, 10669
127, 10647
128, 10269
129, 9923
130, 9606
131, 9318
132, 9172
133, 9099
134, 9113
135, 8635
136, 8522
137, 8291
138, 8205
139, 8189
140, 8217
141, 8375
142, 8381
143, 8388
144, 8386
145, 8539
146, 8641
147, 8870
148, 9179
149, 9532
150, 9679
151, 9985
152, 10251
153, 10454
154, 10856
155, 11355
156, 11712
157, 12099
158, 12496
159, 12964
160, 13293
161, 13724
162, 13990
163, 14235
164, 14683
165, 15099
166, 15368
167, 15677
168, 16035
169, 16337
170, 16599
171, 16972
172, 17314
173, 17569
174, 17624
175, 17902
176, 18312
177, 18409
178, 18583
179, 18677
180, 18671
181, 18645
182, 18695
183, 18834
184, 18574
185, 18444
186, 17900
187, 15928
188, 14448
189, 13890
190, 13481
191, 12666
192, 12226
193, 12031
194, 11744
195, 11306
196, 11230
197, 11360
198, 11388
199, 11594
200, 11747
201, 12188
202, 12646
203, 13087
204, 13412
205, 13769
206, 14283
207, 15265
208, 16231
209, 16995
210, 17770
211, 18525
212, 19307
213, 20538
214, 21851
215, 23328
216, 24442
217, 25870
218, 27442
219, 29182
220, 32242
221, 35544
222, 39684
223, 42511
224, 45971
225, 50173
226, 54740
227, 61007
228, 66395
229, 73544
230, 79542
231, 85620
232, 92862
233, 99844
234, 108463
235, 119054
236, 128252
237, 136632
238, 144145
239, 156378
240, 170697
241, 184789
242, 200759
243, 216820
244, 227524
245, 235192
246, 248756
247, 264102
248, 282157
249, 297804
250, 313495
251, 329191
252, 340723
253, 354557
254, 367135
255, 378069
256, 388470
257, 398858
258, 407841
259, 417275
260, 417810
261, 418489
262, 422824
263, 424748
264, 423112
265, 424353
266, 423691
267, 417441
268, 439913
269, 430678
270, 425392
271, 418334
272, 408378
273, 395905
274, 384486
275, 372341
276, 362979
277, 355834
278, 346265
279, 336403
280, 325008
281, 316510
282, 298714
283, 288115
284, 277444
